,0,1,2,3,4,5,6,7,8,9,10,11
0,№,Vessel and Flag,Ice Class,"Shipowner /
Operator",Cargo,Destination,"Port and Date
of Sail","Entry to
NSR","Exit from
NSR",Time on NSR,"Average speed,
knots",
1,1,"mt
«Varzuga»
Russia",Arc5,JSC MSCo,"12538 t
Diesel fuel",Pevek-Anadyr,"Murmansk
20.06.12
22:30","23.06.12
06:00","16.07.12
10:00","To Pevek 15.4 days
From Pevek to
Dezhnev
4,1 days","5,8.",
2,2,"Mt
«Indiga»
Russia",Arc5,JSC MSCo,"12979 t
Diesel Fuel",Pevek-Anadyr,"Murmansk
21.06.12
22:00","24.06.12
05:00","16.07.12
10:00","To Pevek 14,3 days
From Pevek to
Dezhnev
4,1 days","5,9",
3,3,"Supply vessel
«Vengeri»
Russia","Ice 1A
Super
(Arc 5)",FEMCO LTD,"repositioning,
dspl 3733 t","K holmsk,
Sakhalin","Murmansk
05.07.12
13:00","08.07.12
04:00","23.07.12
00:00","14,8","7,3",
4,4,"mt
«Nordic
Odyssey»
PANAMA","Ice 1A
(Arc4)","Nordic Bulk
Carriers","67520 t
ЖРК
«Еврохим»",Китай,"Murmansk
10.07.12
02:00","11.07.12
22:00","23.07.12
05:00","11,2","9,7",
5,5,"mt «Marilee»
NORWAY","Ice 1A
(Arc4)",MARINVEST,"60505 t
gascondensat
e NOVATEK","Inchеon,
Republic of Korea","Murmansk
10.07.12
05:00","11.07.12
16:00","22.07.12
23:40","11,3","9,6",
6,6,"mv
«Nordic
Orion»
PANAMA","Ice-1A
(Arc4)","Nordic Bulk
Carriers","ballast
dspl 87216 t.",Murmansk,"Shanghai
10.07.12 07:35","20.07.12
19:45","31.07.12
15:20","10,8","10,0",
7,7,"mt
«Stena
Poseidon»
FINLAND","Ice 1A
(Arc4)",Neste Oil,"66416 t
Jet fuel","Porvoo,
Finland","Yosu,
Republic of
Korea
30.06.12
02:15","20.07.12
09:00","31.07.12
20:50","11,5","9,4",
8,8,"icebreaker
«Xuelong»
CHINA",Arc 5,"Polar Research
Institute of China","repositioning
dspl. 21025 t.",Iceland,"SHANGHAI,
China","21.07.12
17:00","31.07.12
15:00","9,9","10,9 уз",
9,9,"Mt
«Palva»","Ice 1A
(Arc4)",«Neste Oil»,"60310 t.
Gascondensat","Daesan,
Republic of Korea","Murmansk
23.07.12","26.07.12
17.25","04.08.12
11:50","8,8","12,3 уз",
10,№,Vessel and Flag,Ice Class,"Shipowner /
Operator",Cargo,Destination,"Port and Date
of Sail","Entry to
NSR","Exit from
NSR",Time on NSR,"Average speed,
knots",
11,,FINLAND,,,"e
NOVATEK",,19:30,,,,,
12,10,"mt
«Kasla»
Russia",Arc 5,Partner LTD,"6500 t.
Diesel fuel","Kolyma,
Arkhangelsk","Port Vostchnyi
28.07.12","09.08.12
10:00","02.09.12
02:00",-,-,
13,11,"mv
«Nordic
Orion»
PANAMA","Ice-1A
(Arc4)","Nordic Bulk
Carriers","65937 t.
Iron ore
EUROCHEM","Huanghua,
China","Murmansk
10.08.12
02:30","12.08.12
11.40","20.08.12
23:45","8,5","12,3 уз",
14,12,"mt
«Egvekinot»
Russia",Arc4,Partner LTD,"5350 t.
Diesel fuel","Indigirka,
Arkhangelsk","Port of
Nakhodka
05.08.12
14:30","15.08.12
13:05","02.09.12
21:00","10,5","10,3",
15,13,"Mt
«Yaroslav
Mudryi»","Ice 1A
(Arc4)","Morskoy
Standart LTD","8500 t.
Diesel Fuel","Petropavlovsk-
Kamchatskiy","Murmansk
17.08.12
00:00","19.08.12
22:00","29.08.12
15.37","9,7","10,7",
16,14,"mv
«Nordic
Odyssey»
PANAMA","Ice 1A
(Arc4)","Nordic Bulk
Carriers","Ballast
Dspl. 87216 t.",Murmansk,"Huanghua,
China
11.08.12
11:00","22.08.12
08:30","01.09.12
07:20","10,9","9,6",
17,15,"mt
«Marika»
NORWAY","Ice 1A
(Arc4)",MARINVEST,"66552 t.
Jet Fuel","Porvoo,
Finland","Yosu,
Republic of
Korea
11.08.12
13:00","22.08.12
20:00","02.09.12
00:30","10,2","10,2",
18,16,"mt
«STI
Harmony»
Marshall Island","Ice 1A
(Arc4)","Scorpio Ship
Management","61496 t.
Gascondensat
e NOVATEK","Zhenjiang, China","Murmanks
23.08.12
23:30","26.08.12
12:00","03.09.12
14:30","8,1","12,9",
19,17,"mt
«SCF Amur»
LIBERIAN","Ice 1A
(Arc4)",JSC SCF,"44 134 t.
Heavy oil",Singapore,"Murmansk
25.08.12
02:30","27.08.12
09:30","03.09.12
14:05","8,2","12,7",
20,18,"Supply vessel
«Tumcha»
Russia
Towing Pipe-",Arc4,"Mezhregiontrubp
rovodstroy LTD","repositioning
dspl.
17 350 t",Arkhangelsk,"Petropavlovsk-
Kamchatskiy
22.08.12
14:10","08.09.12
12:15
Dezhnev
Cape","26.10.12
17:25
Yugorskiy
Shar",-,-,
21,№,Vessel and Flag,Ice Class,"Shipowner /
Operator",Cargo,Destination,"Port and Date
of Sail","Entry to
NSR","Exit from
NSR",Time on NSR,"Average speed,
knots",
22,,"layer Nebula
Russia",,,,,,,,,,
23,19,"reefer
«SKYFROST»
PANAMA","1A BV
(Arc4)","«Laskaridis ship.
LTD»","8 265 t.
Frozen fish",Saint-Petersburg,"Petropavlovsk-
Kamchatskiy
28.08.12
17:00","01.09.12
20:00","09.09.12
08:30","7,8","13,3",
24,20,"mt
«Marinor »
NORWAY","Ice 1A
(Arc4)",MARINVEST,"60 992 t.
Gascondensat
e NOVATEK","Daesan,
Republic of Korea","Murmanks
30.08.12
18:30","02.09.12
12:00","10.09.12
22:30","8,4","12,4",
25,21,"mt «Svyatoy
Pavel»
Russia","Ice 1A
(Arc4)","Morskoy
Standart LTD","9375 t.
Diesel Fuel",Anadyr,"Arkhangelsk
28.08.12
19:00","31.08.12
05:30","09.09.12
22:00","9,7","10,7",
26,22,"Mt Svyatoy Petr
Russia","Ice 1A
(Arc4)","Morskoy
Standart LTD","8957 t. Diesel
Fuel",Ust-Kamchatsk,"Arkhangelsk
05.09.12
11:15","07.09.12
17:00","21.09.12
18:30","10,5","10,3",
27,23,"mt
Egvekinot
Russia",Arc4,Partner LTD,"4 470 t.
Diesel Fuel",Nakhodka,"Arkhangelsk
07.09.12
13:00","09.09.12
21:00","13.10.12
06:15
e",-,-,
