,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
23,No.,Vessel and Flag,Ice class,"GRT,
tones","Vessel
owner/operator",Cargo,"Port of
destination","Port and date
of departure","Entry to
NSR","Exit from
NSR","Days
spent at
NSR","Average
speed,
knots",,,
24,22,"mv
«Nordic Odyssey»
flag PANAMA","Ice 1A
(Arc4)",40 142,"Nordic Bulk
Carriers","70 202 tones
iron ore
Eurochem","Quingdao,
China","Murmansk
11.08.13
02:00","13.08.13
19:00
c. Zhelaniya","24.08.13
14:36
c. Dezhnev","10,8","10,0",,,
25,23,"mt
«Marinor»
flag NORWAY","Ice 1A
(Arc4)",42 835,MARINVEST,"58 721 tones
gas condensate
NOVATEK","Daesan,
South Korea","Murmansk
13.08.13
01:40","15.08.13
16:00
c. Zhelaniya","28.08.13
12:15
c. Dezhnev","12,9","11,0",,,
26,24,"mt
«Egvekinot»
flag RUSSIA",Arc4,4 110,Sky LLC,"4 213 tones
diesel fuel","Kolyma river
mouth","Ob Bay
13.08.13
12:00","13.08.13
12:00
Ob Bay","26.08.13
24:00
Kolyma
mouth","13,5","7,3",,,
27,25,"mv «Tekhnolog
Konyukhov»
flag RUSSIA",Arc5,5 370,"Northern Shipping
Company","ballasting,
FD 10 003
tones",Arkhangelsk,"Pevek
19.08.13
16:00","19.08.13
16:00
Pevek","26.08.13
11:00
Kara Gate","6,8","13,3",,,
28,26,"PS-825
flag RUSSIA","Ice 1A
(Arc4)",1 207,"Coast Guard
Service","reposition,
FD 1 155 tones",Nevelsk,"Murmansk
20.08.13
15:00","22.08.13
12:00
Kara Gate","05.09.13
07:00
c. Dezhnev","13,8","11,4",,,
29,27,"mt
«Kasla»
flag RUSSIA",Arc 5,4 724,Sky LLC,"5 329 tones
diesel fuel","Kolyma river
mouth","Ob Bay
25.08.13
20:00","25.08.13
20:00
Ob Bay","05.09.13
08:00
Kolyma river
mouth","10,5","7,3",,,
30,28,"mv
«YONG SHENG»
flag HONG KONG","Ice 1A
(Arc4)",14 357,COSCO SHIPPING,"16 651 tones
general cargo","Rotterdam,
Netherlands","Busan
17.08.13","26.08.13
23:30
c. Dezhnev","03.09.13
09:30
c. Zhelaniya","7,4","14,1",,,
31,29,"mv «Yuri
Arshenevsky»
flag RUSSIA",Arc7,18 574,NSC / Chukotsnab,"6 799 tones
general cargo",Pevek,Arkhangelsk,"27.08.13
11:00
Kara Gate","06.09.13
07:30
Pevek","9,9","8,4",,,
32,30,"mt
«Khatanga»
flag RUSSIA",Ice 3,14 937,"MSCO/
Chukotsnab","ballasting,
FD 30 022
tones",Murmansk,"Pevek
27.08.13
13:30","27.08.13
13:30
Pevek","05.09.13
12:00
Kara Gate","8,9","9,3",,,
33,31,"mv «Inzhener
Veshnyakov»
flag RUSSIA",Arc5,6 418,"Northern Shipping
Company","3 078 tones
general cargo",c. Shmidt,"Arkhangelsk
01.09.13
02:20","02.09.13
23:30
Kara Gate","12.09.13
18:20
c. Shmidt","9,8","10,4",,,
34,32,"mt
«Indiga»
flag RUSSIA",Arc5,11 290,"MSCO /
Chukotsnab","12 444 т
diesel fuel",Pevek,"Murmansk
31.08.13
08:30","03.09.13
11:00
c. Zhelaniya","12.09.13
10:10
Pevek","8,9","8,8",,,
35,33,"mt
«Svyatoy Petr»
flag RUSSIA",Arc4,6 441,Sea Standard LLC,"4 000 tones
diesel fuel",Arkhangelsk,"Petropavlovsk-
Kamchatsky
03.09.13","06.09.13
06:00
c. Dezhnev","18.09.13
03:45
Kara Gate","11,9","9,5",,,
36,No.,Vessel and Flag,Ice class,"GRT,
tones","Vessel
owner/operator",Cargo,"Port of
destination","Port and date
of departure","Entry to
NSR","Exit from
NSR","Days
spent at
NSR","Average
speed,
knots",,,
37,,,,,,,,23:00,,,,,,,
38,34,"tug «Vengery»
flag RUSSIA","Ice 1A
Super
(Arc5)",1 672,FEMCO LLC,"reposition,
FD 3 788 tones",Murmansk,Busan,"07.09.13
16:00
c. Dezhnev","20.09.13
13:50
Kara Gate","12,9","8,7",,,
39,35,"mt «Bukhta
Slavyanka»
flag RUSSIA",Arc5,13 204,"Vostokbunker
CJSC","11 927 tones
fuel oil",Slavyanka,"Murmansk
06.09.13","08.09.13
03:00
Kara Gate","21.09.13
03:00
c. Dezhnev",13,"10,2",,,
40,36,"mv «Yuri
Arshenevsky»
flag RUSSIA",Arc7,18 574,NSC / Chukotsnab,"ballasting,
FD 33 944
tones",Arkhangelsk,"Pevek
09.09.13
00:20","09.09.13
00:20
Pevek","17.09.13
13:00
Kara Gate","8,5","10,4",,,
41,37,"reefer
«Kamchatka
Harvest»
flag RUSSIA",Ice 2,1 579,Bekkerev Sea Farm,"ballasting,
FD 2 258 tones","Petropavlovsk-
Kamchatsky","Alesund,
Norway","10.09.13
12:00
Kara Gate","22.09.13
02:20
c. Dezhnev","11,6","11,7",,,
42,38,"mt
«Indiga»
flag RUSSIA",Arc5,11 290,"MSCO /
Chukotsnab","ballasting,
FD 22 654
tones","Arkhangelsk
(via Ob Bay &
Khatanga Bay)
11.10.13
20:00","Pevek
13.09.13
14:00","13.09.13
14:00
Pevek","09.10.13
10:00
Kara Gate","25,8","6,7",,,
43,39,"mv «Inzhener
Veshnyakov»
flag RUSSIA",Arc5,6 418,"Northern Shipping
Company","ballasting,
FD 11 249
tones",Arkhangelsk,"c. Shmidt
16.09.13
20:00","16.09.13
20:00
c. Shmidt","27.09.13
07:00
Kara Gate","10,5","12,1",,,
44,40,"mt
«Khatanga»
flag RUSSIA",Ice 3,14 937,"MSCO /
Chukotsnab","20 122 tones
diesel fuel",Pevek,"Murmansk
15.09.13
06:00","17.09.13
10:00
Kara Gate","28.09.13
04:00
Pevek","10,8","9,5",,,
45,41,"mt
«Egvekinot»
flag RUSSIA",Arc4,4 110,Sky LLC,"4 086 tones
diesel fuel","Kolyma river
mouth","Ob Bay
18.09.13
12:00","18.09.13
08:00
Ob Bay","28.09.13
14:00
Kolyma river
mouth","10,3","7,4",,,
46,42,"LNGC
«Arctic Aurora»
flag Marshall Island","Ice 1A
(Arc4)",102 236,«Dynagas Ltd.»,"66 868 tones
LNG","Futtsu,
Japan","Hammerfest,
Norway
13.09.13","22.09.13
02:30
c. Zhelaniya","06.10.13
18:15
c. Dezhnev","14,7","7,1",,,
47,43,"mv «NS Yakutia»
flag LIBERIA",Ice 3,40 972,Sovcomflot,"67 237 tones
iron ore
Eurochem","Lanshan,
China","Murmansk,
21.09.13","23.09.13
13:10
c. Zhelaniya","06.10.13
11:20
c. Dezhnev","12,9","10,5",,,
48,44,mv,Arc5,6 418,Northern Shipping,5 028 tones,Arkhangelsk,Petropavlovsk-,23.09.13,28.10.13,"34,8","8,7",,,
49,No.,Vessel and Flag,Ice class,"GRT,
tones","Vessel
owner/operator",Cargo,"Port of
destination","Port and date
of departure","Entry to
NSR","Exit from
NSR","Days
spent at
NSR","Average
speed,
knots",,,
50,,"«Inzhener
Trubin»
flag RUSSIA",,,Company,general cargo,(via Ob Bay),"Kamchatsky
10.09.13
12:50","18:00
c. Dezhnev","12:45
Kara Gate",,,,,
51,45,"mt «Propontis»
flag
GREECE","Ice 1A
(Arc4)",66 919,"Tsakos Columbia
Shipmanagement","109 090 tones
gasoil
NOVATEK","Skagen,
Denmark","Ulsan,
South Korea
14.09.13","25.09.13
11:45
c. Dezhnev","06.10.13
06:00
c. Zhelaniya","10,8","9,7",,,
52,46,"mt
«Indiga»
flag RUSSIA",Arc5,11 290,"Khatanga Sea
Merchant Port
CJSC","5 348 tones
diesel fuel",Khatanga Bay,"Ob Bay
26.09.13
18:00","26.09.13
18:00
Ob Bay","30.09.13
15:00
Khatanga Bay","3,9","9,8",,,
53,47,"mt
«Mari Ugland»
flag NORWAY","Ice 1A
(Arc4)",42 835,MARINVEST,"62 147 tones
naphtha
NOVATEK","Mailiao,
Taiwan
25.10.13","Mongstad,
Norway
21.09.13","27.09.13
07:30
c. Zhelaniya","11.10.13
16:00
c. Dezhnev","14,4","11,1",,,
54,48,"mt
«Stena Polaris»
flag Bermuda","Ice 1A
(Arc4)",36 168,STENA BULK AB,"43 838 tones
naphtha
NOVATEK","Yosu,
South Korea","Ust-Luga,
16.09.13","28.09.13
17:20
c. Zhelaniya","11.10.13
12:00
c. Dezhnev","12,7","9,3",,,
55,49,"research vessel
«Professor
Kurentsov»
flag RUSSIA",Arc4,1 388,MAGE JSC,"reposition,
FD 1 675 tones",Okhotsk Sea,"Kirkenes,
Norway","29.09.13
10:00
Kara Gate","11.10.13
00:50
c. Dezhnev","11,6","10,1",,,
56,50,"mt
«Khatanga»
flag RUSSIA",Ice 3,14 937,"MSCO /
Chukotsnab","ballasting,
FD 30 022
tones","Murmansk (via
Ob Bay)
23.10.13","Pevek
30.09.13
08:25","Pevek
30.09.13
08:25","20.10.13
06:00
Kara Gate","19,9","8,1",,,
57,51,"mt «Zaliv
Amurskiy»
flag CYPRUS","Ice-1C
(Ice 2)",60 178,PRISCO,"96 131 tones
gasoil
NOVATEK","Rotterdam,
Netherlands","Onsan,
South Korea","30.09.13
17:25
c. Dezhnev","13.10.13
06:00
c. Zhelaniya","12,5","8,8",,,
58,52,"passenger vessel
«Polaris»
flag RUSSIA",Arc4,2 097,MSCO,"reposition,
FD 2178 tones",Korsakov,"Murmansk,
01.10.13","04.10.13
04:00
Kara Gate","15.10.13
23:20
c. Dezhnev","11,8","9,5",,,
59,53,"mv
«Nordic Bothnia»
flag PANAMA","Ice-1A
(Arc4)",27 078,"Nordic Bulk
Carriers","41 578 tones
general cargo","Amsterdam,
Netherlands","Xingang,
China
22.09.13","05.10.13
04:30
c. Dezhnev","20.10.13
00:30
c. Zhelaniya","14,8","10,0",,,
60,54,"mt
«Svyatoy Petr»
flag RUSSIA",Arc4,6 441,Sea Standard LLC,"9 374 tones
diesel fuel","Petropavlovsk-
Kamchatsky","Arkhangelsk
06.10.13
20:00","09.10.13
18:30
Kara Gate","24.10.13
00:20
c. Dezhnev","14,2","7,9",,,
61,55,"mt «Bukhta
Slavyanka»
flag RUSSIA",Arc5,13 204,"Vostokbunker
CJSC","7 908 tones
fuel oil","Murmansk
01.11.13
10:00","Petropavlovsk-
Kamchatsky
04.10.13","11.10.13
22:00
c. Dezhnev","29.10.13
13:50
c. Zhelaniya","17,7","7,7",,,
62,56,mt «Viktor,1C,,Sovcomflot,88 024 tones,"Rotterdam,","Yosu,",14.10.13,28.10.13,"14,1","8,5",,,
63,No.,Vessel and Flag,Ice class,"GRT,
tones","Vessel
owner/operator",Cargo,"Port of
destination","Port and date
of departure","Entry to
NSR","Exit from
NSR","Days
spent at
NSR","Average
speed,
knots",,,
64,,"Bakaev»
flag LIBERIA",(Ice 2),66 855,,jet fuel,Netherlands,"South Korea
02.10.13","09:00
c. Dezhnev","11:00
c. Zhelaniya",,,,,
65,57,"mt «Zaliv Baikal»
flag LIBERIA","Ice-1C
(Ice 2)",60 178,PRISCO,"79 580 tones
naphtha
NOVATEK","Yosu,
South Korea","Ust-Luga,
30.09.13
23:00","14.10.13
16:00
c. Zhelaniya","29.10.13
21:00
c. Dezhnev","15,2","9,3",,,
66,58,"mv
«Nordic Odyssey»
flag PANAMA","Ice 1A
(Arc4)",40 142,"Nordic Bulk
Carriers","73 500 tones
coal","Pori,
Finland","Vancouver
04.10.13","16.10.13
05:00
c. Dezhnev","28.10.13
10:40
c. Zhelaniya","12,2","9,1",,,
67,59,"mt
«Varzuga»
flag RUSSIA",Arc5,11 290,"MSCO/
Chukotsnab","ballasting,
FD 22 654
tones","Murmansk
(via Pevek)","Provideniya,
16.10.13
03:20","16.10.13
21:00
c. Dezhnev","08.11.13
12:00
c. Zhelaniya","22,7","8,2",,,
68,60,"icebreaker
«Nordica»
flag FINLAND","Polar-10
Icebreaker
(DNV)",9 392,"Arctia Offshore
Ltd.","reposition,
FD
12 800 tones","Lindoe,
Denmark","Dutch Harbor,
USA
14.10.13","17.10.13
19:20
c. Dezhnev","29.10.13
17:10
Kara Gate","11,9","9,5",,,
69,61,"mt
«Egvekinot»
flag RUSSIA",Arc4,4 110,Sky LLC,"4 574 tones
diesel fuel",Magadan,"Ob Bay
18.10.13
12:00","18.10.13
12:00
Ob Bay","09.11.13
02:00
c. Dezhnev","21,6","6,0",,,
70,62,"mv «Yuri
Arshenevsky»
flag RUSSIA",Arc7,18 574,MSCO,"9 042 tones
general cargo",Pevek,"Arkhangelsk,
17.10.13
14:55","19.10.13
13:00
Kara Gate","30.10.13
16:00
Pevek","11,1","7,5",,,
71,63,"mv «Tekhnolog
Konyukhov»
flag RUSSIA",Arc5,5 370,"Northern Shipping
Company","2 692 tones
general cargo",Pevek,"Arkhangelsk
17.10.13","20.10.13
08:00
Kara Gate","05.11.13
11:00
Pevek","16,1","8,1",,,
72,64,"mv «HHL Hong
Kong»
flag LIBERIA","Ice 1A
(Arc4)",17 634,Hansa Heavylift,"1 742 tones
general cargo","Rajin
(N. Kores)","Ust-Luga,
08.10.13","25.10.13
09:30
Kara Gate","11.11.13
02:40
c. Dezhnev","16,7","6,7",,,
73,65,"icebreaker
«Fennica»
flag FINLAND","Polar-10
Icebreaker
(DNV)",9 392,"Arctia Offshore
Ltd.","reposition,
FD
12 800 tones","Kirkenes,
Norway","Dutch Harbor,
USA
28.10.13","31.10.13
01:45
c. Dezhnev","18.11.13
20:00
Kara Gate","18,8","7,6",,,
74,66,"mt
«Indiga»
flag RUSSIA",Arc5,11 290,"MSCO /
Chukotsnab","9 436 tones
diesel fuel",Pevek,"Murmansk
30.10.13
08:10","02.11.13
08:15
c. Zhelaniya","15.11.13
10:00
Pevek","13,1","10,6",,,
75,67,"mv «HHL Lagos»
flag Antigua and
Barbuda","Ice 1A
(Arc4)",17 644,Hansa Heavylift,"3 000 tones
general cargo",Vladivostok,"СПб
25.10.13
23:00","03.11.13
14:00
c. Zhelaniya","17.11.13
09:30
c. Dezhnev","13,8","10,1",,,
76,68,"mv «Yuri
Arshenevsky»",Arc7,18 574,MSCO,"ballasting,
FD 33 944",Arkhangelsk,"Pevek
06.11.13","06.11.13
16:00","17.11.13
07:40","10,7","8,2",,,
77,"Type of
cargo","Amount
of
vessels","Cargo
volume,
tones","Full displ.
(FD), tones","GRT,
tones","Laden
vessels
eastbound
(EB)","EB
cargo
volume,
tones","EB
vessels
GRT,
tones","Laden
vessels
westbound
(WB)","WB
cargo
volume,
tones","WB
vessels
GRT,
tones","Empty
vessels
EB","EB
displ.,
tones","Empty
vessels
WB","WB
displ.,
tones"
78,Liquid,31,911 867,,666 956,23,588 659,431 321,8,323 208,235 635,,,,
79,Bulk,4,276 939,,161 398,3,203 439,121 256,1,73 500,40 142,,,,
80,LNG,1,66 868,,102 236,1,66 868,102 236,,,,,,,
81,General cargo,13,100 223,,152 378,9,36 846,102 206,4,63 377,50 172,,,,
82,Ballasting,15,,469 703,285 710,,,1 579,,,284 131,1,2 258,14,467 445
83,Reposition,7,,38 027,28 373,,,7 917,,,20 456,4,8 639,3,29 388
84,TOTAL:,71,1 355 897,507 730,1 397 051,36,895 812,766 515,13,460 085,630 536,5,10 897,17,496 833
